Input file size: 27196 bytes
Format verson: 0
Number of descriptors: 1272

42C2C 4*
2A4A-2A2-66C2 10 
2A4-2A2-66C2A 10 
2A4A-46A2-46C2 10 
2A4A-46C2-66A2 10 
2A4-46C2-66A2A 10 
2A2A-46C2-66A4 10 
2A2-46C2-66A4A 10 
2A4A-46D2 10 
2A4A-48D2 10 
2A4A-4A2-12B2 8 
2A4-4A2A-12B2 8 
2A4-4A2-12B2A 8 
2A2A-4A4-12B2 8 
2A2-4A4A-12B2 8 
2A2-4A4-12B2A 8 
2A4A-4A2-5B2 8 
2A4-4A2A-5B2 8 
2A4-4A2-5B2A 8 
2A2A-4A4-5B2 8 
2A2-4A4A-5B2 8 
2A2-4A4-5B2A 8 
2A4A-4A2-7C2 10 
2A4-4A2A-7C2 10 
2A4-4A2-7C2A 10 
2A2A-4A4-7C2 10 
2A2-4A4A-7C2 10 
2A2-4A4-7C2A 10 
2A4A-5A2-46C2 10 
2A4-5A2A-46C2 10 
2A4A-5A2-66B2 8 
2A4-5A2A-66B2 8 
2A4-5A2-66B2A 8 
2A4A-5A2-66C2 10 
2A4-5A2A-66C2 10 
2A4-5A2-66C2A 10 
2A4A-5B2-30A2 8 
2A4-5B2A-30A2 8 
2A4-5B2-30A2A 8 
2A2A-5B2-30A4 8 
2A2-5B2A-30A4 8 
2A2-5B2-30A4A 8 
2A4A-5B2-66A2 8 
2A4-5B2A-66A2 8 
2A4-5B2-66A2A 8 
2A2A-5B2-66A4 8 
2A2-5B2A-66A4 8 
2A2-5B2-66A4A 8 
2A4A-66A2-66C2 10 
2A4-66A2A-66C2 10 
2A2A-66A4-66C2 10 
2A2-66A4A-66C2 10 
2A4A-66D2 10 
2A4-66D2A 10 
2C2A-12A2-30A4 10 
2C2-12A2A-30A4 10 
2C2-12A2-30A4A 10 
2C2A-29A2-30A4 10 
2C2-29A2-30A4A 10 
2C2A-5A2-30A4 10 
2C2-5A2A-30A4 10 
2C2-5A2-30A4A 10 
3A4A-19A2-42C2 10 
3A4-19A2A-42C2 10 
3A4A-28A2-40C2 10 
3A4-28A2A-40C2 10 
3A4A-28A2-41C2 10 
3A4-28A2A-41C2 10 
3A4A-28A2-42C2 10 
3A4-28A2A-42C2 10 
3A4A-40D2 10 
3A4A-41A2-42C2 10 
3A2A-41A4-42C2 10 
3A4A-41C2-42A2 10 
3A4A-46D2 10 
3A4A-7C2-20A2 10 
3A4-7C2A-20A2 10 
3A4-7C2-20A2A 10 
3A4A-7C2-28A2 10 
3A4-7C2A-28A2 10 
3A4-7C2-28A2A 10 
3C2A-7A4-20A2 10 
3C2-7A4A-20A2 10 
3C2-7A4-20A2A 10 
3C2A-7A4-28A2 10 
3C2-7A4A-28A2 10 
3C2-7A4-28A2A 10 
41A4A-41D2 10 
46A2-46C2-66A4A 10 
46C2-66A4A-66A2 10 
46D2-66A4A 10 
48A2-48C2-66A4A 10 
48D2-66A4A 10 
4A4A-46A2-46C2 10 
4A4A-46D2 10 
4A4A-4A2-12B2 8 
4A4-4A2-12B2A 8 
4A4A-4A2-5B2 8 
4A4-4A2-5B2A 8 
5A2A-46C2-66A4 10 
5A2-46C2-66A4A 10 
5A2A-66A4-66B2 8 
5A2-66A4A-66B2 8 
5A2A-66A4-66C2 10 
5A2-66A4A-66C2 10 
5A2A-7A4-46C2 10 
5A2-7A4A-46C2 10 
5B2A-66A4-66A2 8 
5B2-66A4A-66A2 8 
7A4A-46D2 10 

Number of combos: 855
Max streams per combo: 10

